127,19.59,18.39,17.18,14.03,19.13,16.71,18.97,22.56,20.36,16.79
128,18.39,17.18,14.03,19.13,16.71,18.97,22.56,20.36,16.79,11.59
129,17.18,14.03,19.13,16.71,18.97,22.56,20.36,16.79,11.59,15.9
130,14.03,19.13,16.71,18.97,22.56,20.36,16.79,11.59,15.9,22.19
131,19.13,16.71,18.97,22.56,20.36,16.79,11.59,15.9,22.19,22.62
132,16.71,18.97,22.56,20.36,16.79,11.59,15.9,22.19,22.62,19.23
133,18.97,22.56,20.36,16.79,11.59,15.9,22.19,22.62,19.23,18.11
134,22.56,20.36,16.79,11.59,15.9,22.19,22.62,19.23,18.11,17.35
135,20.36,16.79,11.59,15.9,22.19,22.62,19.23,18.11,17.35,18.72
136,16.79,11.59,15.9,22.19,22.62,19.23,18.11,17.35,18.72,21.23
137,11.59,15.9,22.19,22.62,19.23,18.11,17.35,18.72,21.23,15.82
138,15.9,22.19,22.62,19.23,18.11,17.35,18.72,21.23,15.82,16.11
139,22.19,22.62,19.23,18.11,17.35,18.72,21.23,15.82,16.11,15.01
140,22.62,19.23,18.11,17.35,18.72,21.23,15.82,16.11,15.01,20.05
141,19.23,18.11,17.35,18.72,21.23,15.82,16.11,15.01,20.05,17.13
142,18.11,17.35,18.72,21.23,15.82,16.11,15.01,20.05,17.13,19.02
143,17.35,18.72,21.23,15.82,16.11,15.01,20.05,17.13,19.02,17.04
144,18.72,21.23,15.82,16.11,15.01,20.05,17.13,19.02,17.04,17.39
145,21.23,15.82,16.11,15.01,20.05,17.13,19.02,17.04,17.39,17.31
146,15.82,16.11,15.01,20.05,17.13,19.02,17.04,17.39,17.31,19.75
147,16.11,15.01,20.05,17.13,19.02,17.04,17.39,17.31,19.75,21.48
148,15.01,20.05,17.13,19.02,17.04,17.39,17.31,19.75,21.48,21.83
149,20.05,17.13,19.02,17.04,17.39,17.31,19.75,21.48,21.83,11.28
150,17.13,19.02,17.04,17.39,17.31,19.75,21.48,21.83,11.28,20.25
151,19.02,17.04,17.39,17.31,19.75,21.48,21.83,11.28,20.25,22.22
152,17.04,17.39,17.31,19.75,21.48,21.83,11.28,20.25,22.22,17.51
153,17.39,17.31,19.75,21.48,21.83,11.28,20.25,22.22,17.51,21.94
154,17.31,19.75,21.48,21.83,11.28,20.25,22.22,17.51,21.94,17.51
155,19.75,21.48,21.83,11.28,20.25,22.22,17.51,21.94,17.51,15.38
156,21.48,21.83,11.28,20.25,22.22,17.51,21.94,17.51,15.38,17.69
157,21.83,11.28,20.25,22.22,17.51,21.94,17.51,15.38,17.69,20.92
158,11.28,20.25,22.22,17.51,21.94,17.51,15.38,17.69,20.92,24.05
159,20.25,22.22,17.51,21.94,17.51,15.38,17.69,20.92,24.05,14.62
160,22.22,17.51,21.94,17.51,15.38,17.69,20.92,24.05,14.62,19.02
161,17.51,21.94,17.51,15.38,17.69,20.92,24.05,14.62,19.02,19.28
162,21.94,17.51,15.38,17.69,20.92,24.05,14.62,19.02,19.28,17.54
163,17.51,15.38,17.69,20.92,24.05,14.62,19.02,19.28,17.54,13.89
164,15.38,17.69,20.92,24.05,14.62,19.02,19.28,17.54,13.89,12.76
165,17.69,20.92,24.05,14.62,19.02,19.28,17.54,13.89,12.76,19.07
166,20.92,24.05,14.62,19.02,19.28,17.54,13.89,12.76,19.07,25.58
167,24.05,14.62,19.02,19.28,17.54,13.89,12.76,19.07,25.58,22.9
168,14.62,19.02,19.28,17.54,13.89,12.76,19.07,25.58,22.9,20.2
169,19.02,19.28,17.54,13.89,12.76,19.07,25.58,22.9,20.2,21.34
170,19.28,17.54,13.89,12.76,19.07,25.58,22.9,20.2,21.34,17.18
171,17.54,13.89,12.76,19.07,25.58,22.9,20.2,21.34,17.18,16.92
172,13.89,12.76,19.07,25.58,22.9,20.2,21.34,17.18,16.92,22.31
173,12.76,19.07,25.58,22.9,20.2,21.34,17.18,16.92,22.31,18.43
174,19.07,25.58,22.9,20.2,21.34,17.18,16.92,22.31,18.43,18.32
175,25.58,22.9,20.2,21.34,17.18,16.92,22.31,18.43,18.32,13.01
176,22.9,20.2,21.34,17.18,16.92,22.31,18.43,18.32,13.01,17.05
177,20.2,21.34,17.18,16.92,22.31,18.43,18.32,13.01,17.05,20.73
178,21.34,17.18,16.92,22.31,18.43,18.32,13.01,17.05,20.73,15.19
179,17.18,16.92,22.31,18.43,18.32,13.01,17.05,20.73,15.19,18.83
180,16.92,22.31,18.43,18.32,13.01,17.05,20.73,15.19,18.83,20.87
181,22.31,18.43,18.32,13.01,17.05,20.73,15.19,18.83,20.87,20.67
182,18.43,18.32,13.01,17.05,20.73,15.19,18.83,20.87,20.67,16.46
183,18.32,13.01,17.05,20.73,15.19,18.83,20.87,20.67,16.46,23.21
184,13.01,17.05,20.73,15.19,18.83,20.87,20.67,16.46,23.21,17.69
185,17.05,20.73,15.19,18.83,20.87,20.67,16.46,23.21,17.69,16.54
186,20.73,15.19,18.83,20.87,20.67,16.46,23.21,17.69,16.54,17.51
187,15.19,18.83,20.87,20.67,16.46,23.21,17.69,16.54,17.51,21.39
188,18.83,20.87,20.67,16.46,23.21,17.69,16.54,17.51,21.39,17.88
189,20.87,20.67,16.46,23.21,17.69,16.54,17.51,21.39,17.88,20.05
190,20.67,16.46,23.21,17.69,16.54,17.51,21.39,17.88,20.05,22.9
191,16.46,23.21,17.69,16.54,17.51,21.39,17.88,20.05,22.9,13.28
192,23.21,17.69,16.54,17.51,21.39,17.88,20.05,22.9,13.28,19.44
193,17.69,16.54,17.51,21.39,17.88,20.05,22.9,13.28,19.44,19.02
194,16.54,17.51,21.39,17.88,20.05,22.9,13.28,19.44,19.02,18.37
195,17.51,21.39,17.88,20.05,22.9,13.28,19.44,19.02,18.37,19.79
196,21.39,17.88,20.05,22.9,13.28,19.44,19.02,18.37,19.79,20.77
197,17.88,20.05,22.9,13.28,19.44,19.02,18.37,19.79,20.77,20.41
198,20.05,22.9,13.28,19.44,19.02,18.37,19.79,20.77,20.41,21.57
199,22.9,13.28,19.44,19.02,18.37,19.79,20.77,20.41,21.57,12.24
200,13.28,19.44,19.02,18.37,19.79,20.77,20.41,21.57,12.24,21.34
201,19.44,19.02,18.37,19.79,20.77,20.41,21.57,12.24,21.34,16.75
202,19.02,18.37,19.79,20.77,20.41,21.57,12.24,21.34,16.75,19.34
203,18.37,19.79,20.77,20.41,21.57,12.24,21.34,16.75,19.34,17.69
204,19.79,20.77,20.41,21.57,12.24,21.34,16.75,19.34,17.69,17.09
205,20.77,20.41,21.57,12.24,21.34,16.75,19.34,17.69,17.09,18.78
206,20.41,21.57,12.24,21.34,16.75,19.34,17.69,17.09,18.78,18.41
207,21.57,12.24,21.34,16.75,19.34,17.69,17.09,18.78,18.41,15.56
208,12.24,21.34,16.75,19.34,17.69,17.09,18.78,18.41,15.56,18.11
209,21.34,16.75,19.34,17.69,17.09,18.78,18.41,15.56,18.11,18.41
210,16.75,19.34,17.69,17.09,18.78,18.41,15.56,18.11,18.41,20.81
211,19.34,17.69,17.09,18.78,18.41,15.56,18.11,18.41,20.81,15.25
212,17.69,17.09,18.78,18.41,15.56,18.11,18.41,20.81,15.25,20
213,17.09,18.78,18.41,15.56,18.11,18.41,20.81,15.25,20,22.42
214,18.78,18.41,15.56,18.11,18.41,20.81,15.25,20,22.42,18.37
215,18.41,15.56,18.11,18.41,20.81,15.25,20,22.42,18.37,20.93
216,15.56,18.11,18.41,20.81,15.25,20,22.42,18.37,20.93,17.44
217,18.11,18.41,20.81,15.25,20,22.42,18.37,20.93,17.44,19.9
218,18.41,20.81,15.25,20,22.42,18.37,20.93,17.44,19.9,19.85
219,20.81,15.25,20,22.42,18.37,20.93,17.44,19.9,19.85,19.9
220,15.25,20,22.42,18.37,20.93,17.44,19.9,19.85,19.9,22.08
221,20,22.42,18.37,20.93,17.44,19.9,19.85,19.9,22.08,15.38
222,22.42,18.37,20.93,17.44,19.9,19.85,19.9,22.08,15.38,18.21
223,18.37,20.93,17.44,19.9,19.85,19.9,22.08,15.38,18.21,23.21
224,20.93,17.44,19.9,19.85,19.9,22.08,15.38,18.21,23.21,13.42
225,17.44,19.9,19.85,19.9,22.08,15.38,18.21,23.21,13.42,19.95
226,19.9,19.85,19.9,22.08,15.38,18.21,23.21,13.42,19.95,14.4
227,19.85,19.9,22.08,15.38,18.21,23.21,13.42,19.95,14.4,18.67
228,19.9,22.08,15.38,18.21,23.21,13.42,19.95,14.4,18.67,17.95
229,22.08,15.38,18.21,23.21,13.42,19.95,14.4,18.67,17.95,17.09
230,15.38,18.21,23.21,13.42,19.95,14.4,18.67,17.95,17.09,19.07
231,18.21,23.21,13.42,19.95,14.4,18.67,17.95,17.09,19.07,18.81
232,23.21,13.42,19.95,14.4,18.67,17.95,17.09,19.07,18.81,19.7
233,13.42,19.95,14.4,18.67,17.95,17.09,19.07,18.81,19.7,15.72
234,19.95,14.4,18.67,17.95,17.09,19.07,18.81,19.7,15.72,17.74
235,14.4,18.67,17.95,17.09,19.07,18.81,19.7,15.72,17.74,19.34
236,18.67,17.95,17.09,19.07,18.81,19.7,15.72,17.74,19.34,24.04
237,17.95,17.09,19.07,18.81,19.7,15.72,17.74,19.34,24.04,18.58
238,17.09,19.07,18.81,19.7,15.72,17.74,19.34,24.04,18.58,18.67
239,19.07,18.81,19.7,15.72,17.74,19.34,24.04,18.58,18.67,15.95
240,18.81,19.7,15.72,17.74,19.34,24.04,18.58,18.67,15.95,19.49
241,19.7,15.72,17.74,19.34,24.04,18.58,18.67,15.95,19.49,16.41
242,15.72,17.74,19.34,24.04,18.58,18.67,15.95,19.49,16.41,16.28
243,17.74,19.34,24.04,18.58,18.67,15.95,19.49,16.41,16.28,16.33
244,19.34,24.04,18.58,18.67,15.95,19.49,16.41,16.28,16.33,21.59
245,24.04,18.58,18.67,15.95,19.49,16.41,16.28,16.33,21.59,16.71
246,18.58,18.67,15.95,19.49,16.41,16.28,16.33,21.59,16.71,18.67
247,18.67,15.95,19.49,16.41,16.28,16.33,21.59,16.71,18.67,14.39
